,stock,entry_time,entry_price,exit_time,exit_price,pnl
2018-06-21,700,2018-06-21,404.4,2018-08-27,359.4,-0.1112759643916914
2018-06-21,2,2018-06-21,81.3,2018-07-11,86.95,0.06949569495694964
2018-06-21,1299,2018-06-21,69.5,2018-07-04,67.5,-0.02877697841726619
2018-06-21,175,2018-06-21,22.4,2018-09-18,14.38,-0.35803571428571423
2018-06-22,2007,2018-06-22,15.44,2018-09-26,10.58,-0.3147668393782383
2018-06-22,12,2018-06-22,42.0,2018-09-18,39.5,-0.05952380952380952
2018-06-22,2628,2018-06-22,20.8,2018-10-24,17.46,-0.16057692307692306
2018-06-22,3988,2018-06-22,3.88,2018-09-26,3.47,-0.10567010309278344
2018-06-22,17,2018-06-22,11.26,2018-08-31,10.54,-0.06394316163410307
2018-06-22,11,2018-06-22,193.0,2018-07-12,199.0,0.031088082901554404
2018-06-22,823,2018-06-22,69.3,2018-07-11,72.5,0.04617604617604622
2018-06-25,2313,2018-06-25,102.0,2018-08-13,98.9,-0.030392156862745042
2018-06-25,2388,2018-06-25,38.45,2018-08-23,37.95,-0.013003901170351105
2018-06-25,2382,2018-06-25,150.2,2018-07-18,145.0,-0.03462050599201058
2018-06-26,1109,2018-06-26,26.4,2018-08-01,28.6,0.08333333333333344
2018-06-26,288,2018-06-26,6.17,2018-08-17,6.15,-0.0032414910858994447
2018-06-28,1113,2018-06-28,62.0,2018-09-06,56.6,-0.08709677419354836
2018-06-29,2018,2018-06-29,102.5,2018-07-04,106.1,0.03512195121951214
2018-06-29,762,2018-06-29,9.85,2018-09-06,9.25,-0.06091370558375631
2018-07-03,688,2018-07-03,26.1,2018-09-03,25.0,-0.04214559386973185
2018-07-03,1093,2018-07-03,23.0,2018-08-23,19.3,-0.16086956521739126
2018-07-03,939,2018-07-03,7.06,2018-08-31,6.9,-0.022662889518413495
2018-07-05,1088,2018-07-05,17.22,2018-09-26,18.3,0.06271777003484331
2018-07-11,883,2018-07-11,12.78,2018-08-27,13.54,0.059467918622848184
2018-07-16,669,2018-07-16,43.25,2018-08-22,48.4,0.11907514450867049
2018-07-18,2018,2018-07-18,107.3,2018-08-24,83.65,-0.22041006523765136
2018-07-25,2319,2018-07-25,25.6,2018-09-26,24.3,-0.05078125000000003
2018-07-26,267,2018-07-26,10.94,2018-08-29,11.02,0.007312614259597813
2018-07-27,1398,2018-07-27,5.8,2018-08-31,5.7,-0.01724137931034477
2018-08-03,19,2018-08-03,84.5,2018-08-07,84.5,0.0
2018-08-06,1,2018-08-06,84.8,2018-08-13,89.0,0.04952830188679249
2018-08-07,1299,2018-08-07,68.35,2018-08-13,68.0,-0.005120702267739493
2018-08-07,6,2018-08-07,55.9,2018-08-22,57.55,0.029516994633273678
2018-08-07,11,2018-08-07,207.6,2018-08-13,207.0,-0.002890173410404597
2018-08-08,27,2018-08-08,57.4,2018-08-13,58.1,0.012195121951219561
2018-08-08,16,2018-08-08,123.3,2018-08-31,118.0,-0.042984590429845884
2018-08-08,83,2018-08-08,13.12,2018-08-30,13.3,0.013719512195122066
2018-08-08,1044,2018-08-08,68.3,2018-09-11,68.35,0.0007320644216690653
2018-08-21,1299,2018-08-21,67.95,2018-08-24,66.0,-0.0286975717439294
2018-08-23,288,2018-08-23,6.12,2018-09-06,5.92,-0.03267973856209153
2018-08-28,1109,2018-08-28,28.15,2018-09-26,27.4,-0.026642984014209593
2018-08-28,27,2018-08-28,59.0,2018-11-19,46.7,-0.2084745762711864
2018-08-28,66,2018-08-28,40.95,2018-09-20,41.55,0.014652014652014511
2018-08-28,1299,2018-08-28,68.45,2018-08-31,67.7,-0.01095690284879474
2018-08-28,19,2018-08-28,90.45,2018-11-06,84.2,-0.06909894969596463
2018-08-29,1,2018-08-29,89.6,2018-08-31,89.0,-0.006696428571428509
2018-08-30,6,2018-08-30,55.4,2018-09-18,55.95,0.009927797833935095
2018-09-05,388,2018-09-05,223.6,2018-10-24,213.0,-0.0474060822898032
2018-09-05,2382,2018-09-05,99.7,2018-12-05,77.8,-0.21965897693079242
2018-09-05,1,2018-09-05,91.2,2018-09-21,92.35,0.012609649122806923
2018-09-05,700,2018-09-05,332.2,2018-09-18,315.0,-0.05177603853100539
2018-09-06,17,2018-09-06,10.1,2018-09-26,10.82,0.07128712871287135
2018-09-07,857,2018-09-07,5.77,2018-09-24,6.02,0.043327556325823226
2018-09-12,267,2018-09-12,11.02,2018-10-03,11.42,0.03629764065335757
2018-09-12,823,2018-09-12,75.5,2018-10-12,70.8,-0.06225165562913911
2018-09-12,101,2018-09-12,14.84,2018-11-12,14.88,0.0026954177897574746
2018-09-13,2,2018-09-13,96.0,2018-09-17,95.1,-0.009375000000000059
2018-09-13,11,2018-09-13,208.2,2018-09-26,206.0,-0.010566762728145959
2018-09-13,83,2018-09-13,12.96,2018-09-26,14.08,0.08641975308641969
2018-09-14,688,2018-09-14,23.9,2018-09-26,25.3,0.058577405857740676
2018-09-14,1299,2018-09-14,65.0,2018-09-26,66.9,0.029230769230769317
2018-09-14,1398,2018-09-14,5.56,2018-09-26,5.7,0.025179856115108017
2018-09-14,1928,2018-09-14,34.35,2018-10-24,33.3,-0.030567685589519774
2018-09-14,939,2018-09-14,6.63,2018-09-26,6.75,0.018099547511312233
2018-09-17,16,2018-09-17,116.4,2018-11-21,107.0,-0.08075601374570451
2018-09-18,2313,2018-09-18,91.95,2018-09-26,93.8,0.02011963023382267
2018-09-19,2388,2018-09-19,36.1,2018-09-26,36.45,0.009695290858725801
2018-09-19,1044,2018-09-19,69.8,2018-09-26,72.0,0.03151862464183385
2018-09-21,941,2018-09-21,76.4,2018-10-12,77.3,0.011780104712041772
2018-09-24,288,2018-09-24,5.64,2018-10-24,5.84,0.03546099290780145
2018-09-26,883,2018-09-26,14.8,2018-10-05,14.72,-0.00540540540540541
2018-09-27,1093,2018-09-27,17.06,2018-11-09,18.08,0.059788980070339955
2018-09-27,857,2018-09-27,6.25,2018-10-04,6.46,0.03359999999999999
2018-09-28,6,2018-09-28,55.15,2018-12-19,54.4,-0.013599274705349048
2018-10-03,2,2018-10-03,90.2,2018-12-11,87.4,-0.03104212860310418
2018-10-04,83,2018-10-04,13.2,2018-11-06,12.8,-0.030303030303030196
2018-10-05,1113,2018-10-05,56.15,2018-12-05,56.3,0.0026714158504006873
2018-10-05,2007,2018-10-05,9.46,2018-12-17,9.62,0.01691331923890046
2018-10-05,11,2018-10-05,206.8,2018-11-06,186.3,-0.09912959381044487
2018-10-08,17,2018-10-08,10.5,2018-11-06,10.3,-0.01904761904761898
2018-10-08,688,2018-10-08,23.95,2018-10-12,22.75,-0.050104384133611665
2018-10-09,3988,2018-10-09,3.3,2018-12-06,3.41,0.03333333333333343
2018-10-09,1109,2018-10-09,25.2,2018-10-24,25.45,0.00992063492063492
2018-10-09,762,2018-10-09,9.02,2018-10-12,8.93,-0.009977827050997767
2018-10-09,2318,2018-10-09,74.4,2018-10-24,76.35,0.026209677419354684
2018-10-10,1088,2018-10-10,17.5,2018-10-12,18.2,0.03999999999999996
2018-10-11,3328,2018-10-11,5.69,2018-11-02,5.86,0.02987697715289981
